mdot_kg_s,rpm,Vx_m_s,phi,Re_tip_0p1m,Mach_rel_tip,BPF_Hz,modal_margin_fraction
0.4,1500,5.20114193110769,0.19180975742204362,324674.04659508774,0.1427745442995891,300.0,0.12333333333333334
0.45000000000000007,300,5.851284672496152,1.0789298854989955,75325.08022619937,0.03312400272337727,60.0,4.616666666666666
0.45000000000000007,400,5.851284672496152,0.8091974141242466,94426.67914459205,0.04152387979876375,80.0,3.2125
0.45000000000000007,500,5.851284672496152,0.6473579312993972,114391.27985537898,0.050303259605985404,100.0,2.37
0.45000000000000007,600,5.851284672496152,0.5394649427494977,134836.0828158066,0.05929380706914721,120.0,1.8083333333333333
0.45000000000000007,700,5.851284672496152,0.4623985223567124,155571.88274477498,0.06841231967153612,140.0,1.4071428571428573
0.45000000000000007,800,5.851284672496152,0.4045987070621233,176496.1453456718,0.07761370823023955,160.0,1.10625
0.45000000000000007,900,5.851284672496152,0.3596432951663318,197548.99415712175,0.08687164223138735,180.0,0.8722222222222222
0.45000000000000007,1000,5.851284672496152,0.3236789656496986,218693.296679583,0.09616979275754256,200.0,0.685
0.45000000000000007,1100,5.851284672496152,0.29425360513608967,239904.87298544229,0.10549752675015804,220.0,0.5318181818181819
0.45000000000000007,1200,5.851284672496152,0.2697324713747489,261167.33199468456,0.11484763627560231,240.0,0.4041666666666667
0.45000000000000007,1300,5.851284672496152,0.2489838197305374,282469.18357542285,0.12421506857908537,260.0,0.29615384615384616
0.45000000000000007,1400,5.851284672496152,0.2311992611783562,303802.14151284983,0.1335961798197906,280.0,0.20357142857142857
0.45000000000000007,1500,5.851284672496152,0.2157859770997991,325160.0834286165,0.14298827769820113,300.0,0.12333333333333334
0.5,300,6.501427413884612,1.1988109838877725,77632.91229848577,0.03413886570948961,60.0,4.616666666666666
0.5,400,6.501427413884612,0.8991082379158295,96277.71858086764,0.04233786944396755,80.0,3.2125
0.5,500,6.501427413884612,0.7192865903326635,115923.96761590177,0.050977254952570994,100.0,2.37
0.5,600,6.501427413884612,0.5994054919438863,136138.79164283804,0.05986666979434811,120.0,1.8083333333333333
0.5,700,6.501427413884612,0.5137761359519026,156702.3039448209,0.0689094193732084,140.0,1.4071428571428573
0.5,800,6.501427413884612,0.44955411895791475,177493.35391146768,0.07805222803201081,160.0,1.10625
0.5,900,6.501427413884612,0.3996036612959242,198440.43553003893,0.08726365119275278,180.0,0.8722222222222222
0.5,1000,6.501427413884612,0.35964329516633176,219498.88239680202,0.09652404692376376,200.0,0.685
0.5,1100,6.501427413884612,0.3269484501512107,240639.45944716173,0.10582055918351864,220.0,0.5318181818181819
0.5,1200,6.501427413884612,0.29970274597194313,261842.27439831564,0.11514444039381712,240.0,0.4041666666666667
0.5,1300,6.501427413884612,0.276648688589486,283093.3433174065,0.12448954115755725,260.0,0.29615384615384616
0.5,1400,6.501427413884612,0.2568880679759513,304382.5595343049,0.13385141709355972,280.0,0.20357142857142857
0.5,1500,6.501427413884612,0.23976219677755453,325702.4427543734,0.14322677876224874,300.0,0.12333333333333334
